x_holiday,x_weekday,x_workingday,x_weathersit,x_temp,x_atemp,x_hum,x_windspeed,y
0,6,0,2,0.344167,0.363625,0.805833,0.160446,985
0,0,0,2,0.363478,0.353739,0.696087,0.248539,801
0,1,1,1,0.196364,0.189405,0.437273,0.248309,1349
0,2,1,1,0.2,0.212122,0.590435,0.160296,1562
0,3,1,1,0.226957,0.22927,0.436957,0.1869,1600
0,4,1,1,0.204348,0.233209,0.518261,0.0895652,1606
0,5,1,2,0.196522,0.208839,0.498696,0.168726,1510
0,6,0,2,0.165,0.162254,0.535833,0.266804,959
0,0,0,1,0.138333,0.116175,0.434167,0.36195,822
0,1,1,1,0.150833,0.150888,0.482917,0.223267,1321
0,2,1,2,0.169091,0.191464,0.686364,0.122132,1263
0,3,1,1,0.172727,0.160473,0.599545,0.304627,1162
0,4,1,1,0.165,0.150883,0.470417,0.301,1406
0,5,1,1,0.16087,0.188413,0.537826,0.126548,1421
0,6,0,2,0.233333,0.248112,0.49875,0.157963,1248
0,0,0,1,0.231667,0.234217,0.48375,0.188433,1204
1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000
0,2,1,2,0.216667,0.232333,0.861667,0.146775,683
0,3,1,2,0.292174,0.298422,0.741739,0.208317,1650
0,4,1,2,0.261667,0.25505,0.538333,0.195904,1927
0,5,1,1,0.1775,0.157833,0.457083,0.353242,1543
0,6,0,1,0.0591304,0.0790696,0.4,0.17197,981
0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,986
0,1,1,1,0.0973913,0.11793,0.491739,0.15833,1416
0,2,1,2,0.223478,0.234526,0.616957,0.129796,1985
0,3,1,3,0.2175,0.2036,0.8625,0.29385,506
0,4,1,1,0.195,0.2197,0.6875,0.113837,431
0,5,1,2,0.203478,0.223317,0.793043,0.1233,1167
0,6,0,1,0.196522,0.212126,0.651739,0.145365,1098
0,0,0,1,0.216522,0.250322,0.722174,0.0739826,1096
0,1,1,2,0.180833,0.18625,0.60375,0.187192,1501
0,2,1,2,0.192174,0.23453,0.829565,0.053213,1360
0,3,1,2,0.26,0.254417,0.775417,0.264308,1526
0,4,1,1,0.186957,0.177878,0.437826,0.277752,1550
0,5,1,2,0.211304,0.228587,0.585217,0.127839,1708
0,6,0,2,0.233333,0.243058,0.929167,0.161079,1005
0,0,0,1,0.285833,0.291671,0.568333,0.1418,1623
0,1,1,1,0.271667,0.303658,0.738333,0.0454083,1712
0,2,1,1,0.220833,0.198246,0.537917,0.36195,1530
0,3,1,2,0.134783,0.144283,0.494783,0.188839,1605
0,4,1,1,0.144348,0.149548,0.437391,0.221935,1538
0,5,1,1,0.189091,0.213509,0.506364,0.10855,1746
0,6,0,1,0.2225,0.232954,0.544167,0.203367,1472
0,0,0,1,0.316522,0.324113,0.457391,0.260883,1589
0,1,1,1,0.415,0.39835,0.375833,0.417908,1913
0,2,1,1,0.266087,0.254274,0.314348,0.291374,1815
0,3,1,1,0.318261,0.3162,0.423478,0.251791,2115
0,4,1,1,0.435833,0.428658,0.505,0.230104,2475
0,5,1,1,0.521667,0.511983,0.516667,0.264925,2927
0,6,0,1,0.399167,0.391404,0.187917,0.507463,1635
0,0,0,1,0.285217,0.27733,0.407826,0.223235,1812
1,1,0,2,0.303333,0.284075,0.605,0.307846,1107
0,2,1,1,0.182222,0.186033,0.577778,0.195683,1450
0,3,1,1,0.221739,0.245717,0.423043,0.094113,1917
0,4,1,2,0.295652,0.289191,0.697391,0.250496,1807
0,5,1,2,0.364348,0.350461,0.712174,0.346539,1461
0,6,0,1,0.2825,0.282192,0.537917,0.186571,1969
0,0,0,1,0.343478,0.351109,0.68,0.125248,2402
0,1,1,2,0.407273,0.400118,0.876364,0.289686,1446
0,2,1,1,0.266667,0.263879,0.535,0.216425,1851
0,3,1,1,0.335,0.320071,0.449583,0.307833,2134
0,4,1,1,0.198333,0.200133,0.318333,0.225754,1685
0,5,1,2,0.261667,0.255679,0.610417,0.203346,1944
0,6,0,2,0.384167,0.378779,0.789167,0.251871,2077
0,0,0,2,0.376522,0.366252,0.948261,0.343287,605
0,1,1,1,0.261739,0.238461,0.551304,0.341352,1872
0,2,1,1,0.2925,0.3024,0.420833,0.12065,2133
0,3,1,2,0.295833,0.286608,0.775417,0.22015,1891
0,4,1,3,0.389091,0.385668,0,0.261877,623
0,5,1,2,0.316522,0.305,0.649565,0.23297,1977
0,6,0,1,0.329167,0.32575,0.594583,0.220775,2132
0,0,0,1,0.384348,0.380091,0.527391,0.270604,2417
0,1,1,1,0.325217,0.332,0.496957,0.136926,2046
0,2,1,2,0.317391,0.318178,0.655652,0.184309,2056
0,3,1,2,0.365217,0.36693,0.776522,0.203117,2192
0,4,1,1,0.415,0.410333,0.602917,0.209579,2744
0,5,1,1,0.54,0.527009,0.525217,0.231017,3239
0,6,0,1,0.4725,0.466525,0.379167,0.368167,3117
0,0,0,1,0.3325,0.32575,0.47375,0.207721,2471
0,1,1,2,0.430435,0.409735,0.737391,0.288783,2077
0,2,1,1,0.441667,0.440642,0.624583,0.22575,2703
0,3,1,2,0.346957,0.337939,0.839565,0.234261,2121
0,4,1,2,0.285,0.270833,0.805833,0.243787,1865
0,5,1,1,0.264167,0.256312,0.495,0.230725,2210
0,6,0,1,0.265833,0.257571,0.394167,0.209571,2496
